family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Eggerthellaceae	0	0	0.0452711660502	0.0588581489686	0.114423910827448	0.801898078497684	0.00236528912116	0.000416047549842	0	0	0	0.0491416001073	0.113581661994	0	0.15126407219111	0	0.0309545422242	0.0118489077081	0.0073400928149	0.0031254372822	0	0.010619620983945	0.095817303397843	0.0233105363751	0.0154489584383
Elusimicrobiaceae	0	0	0	0	0	0.00074055419779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae	0.0408093856299883	5.97757760924591	12.5749782444807	0.493295972501929	2.64881120500864	2.75905546406703	0.0406381501315655	6.82468075119902	9.38132551005376	0.18486421369942	0.37249996310217	0.309023973338252	1.54334874299551	5.51891733607218	0.831828225692371	16.7210505833077	8.63235741481808	6.11287092825227	3.865447852042	4.36015153283519	5.36522867341935	1.07078758632838	4.35892358862621	5.49537002577363	3.24423619564629
Enterococcaceae	0	1.89776718395774	0.32576891251467	0.56196573366	0.286929802695314	0.785594610305	0.00670763047342	0.517203382990858	0.41075383944665	0.00279099079273	0	0.0501381549898	0.374646511944197	0.80115671109348	0.41352372680195	0.0961094724	0.030285170398	0.00104769011091	0.441454972211	0.415679370964	0	1.41513356344356	1.78894512619247	0	0.0554320190074
Entomoplasmataceae	0	0	0	0	0.00123815262795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichaceae	0.0001743603639819	0.00235524834212	0.16665780907855	0.21385770980339	0.5244029173997	0.58337645191079	0.000953269663147	0.02926810158899	0.0196734179079	0.0383232843076	0.00507249624981	0.08709826045261	0.0582021987165	0	0.006787348302661	0	0.016410513707875	0.01579625225859	0	0.00139856033144	0.00284807463987	0.0143332888235	0.2668883652526	0.0070427964703	0.00150724043593
Erythrobacteraceae	0	0.03257645103774	0.01255648643898	0.0137044764709	0	0.000819386307483	0	0	0	0	0.00397293184725	0.000960821807663	0.00622989002235	0	0.000368945326043	0	0.001446203928273	0.00117498639627	0	0	0.00108555997971	0.000431779366442	0.00178491098665	0.00810231537655	0.000574493334598
Eubacteriaceae	0.0015297458517611	0.00519852674126	0.19102575118525	1.55534967179037	1.3152383836261	1.329022029743	0.006466435036902	0.11249154746267	0.00231832770964	0	0.2457061805636	0.035654409709639	0.3954783170051	0.1006697248229	0.06583198123884	0.060589566714	0.01244576182158	0.00671570000839	0.0459069872235	0.03720649440791	0.0201371324118	0.04267575642209	0.424283284150924	0.00912920231532	0.00266421214966
Ferrimonadaceae	0	0	0	0	0.000229515280959	0.0105241308682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fervidobacteriaceae	0	0	0	0.000818615639662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00330376918615	0	0
Flavobacteriaceae	0.0001862026073409	0.003393560505711	0.00540173601301	0.033027314038203	0.000442276442991	0.003581217741428	0.003691040183821	0.00113319436294	0.00216708894956	0.00794120684815	0.028937387030113	0.00439843842211	0.00317218159116	0	0.089339900614866	0	0.001190409724759	0.00489410473145	0	0.00186818178874	0.00792050453666	0.036630828377847	0.0053188808443218	0.001528322241129	0.000554504351568
Francisellaceae	0	0	0	0	0	0	0	0.000767628631682	0	0	0	0	0.00127394451501	0	0	0	0	0.00364363833507	0	0	0	0	0	0	0
Frankiaceae	0	0.000457611049232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123489964556	0	0	0	0	0	0	0.000912249584517	0
Fusobacteriaceae	94.7267725492697	2.90773161511534	0.3111063003256	0.5031641250858	0.172813355097533	0.116849767248534	0.00167399809159	0.169421474808522	0.40260501738503	0.0256373185486	0.0938009566738	0.01929498323008	0.000400335366031	1.97512916006514	2.50068807699893	0.371495369589	0.11487850338209	0.75690893907458	7.5998536286021	2.9895178618279	0.15565887746356	8.07344560566608	17.443118098285	0.0781752477546	0.0415646201078
Gallionellaceae	0	0.00136842623252	0	0	0.123532869957833	0	0	0.0783677166481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminigeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00186385023471	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadaceae	0	0	0	0	0	0.00026248785594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213629542003	0	0
Geobacteraceae	0	0.000890606299658	0	0.000310615365924	0.000109264937435	0.000983083687809	0	0.000406861122015	0	0	0	0.000570989626916	0	0	0	0	0	0	0.00173022041324	0	0	0	0.000313095129342	0	0
Geodermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018724884419	0	0	0.00039051463146	0.001317106189408	0	0.002668148765726	0	0	0	0.0073496957029	0
Gordoniaceae	0	0	0	0	0	0.000230083927679	7.86201739917e-05	0	0	0	0	0.00221762110488	0.002144130189738	0	0.000186229032107	0.0034136353309	0.000369933443281	0.000677980716488	0	0.00331747157122	0	0.000242487558346	8.41523363879e-05	0	0
Gracilariaceae	0	0	0	0.0173527034405	0.117503588496	0.11914446301	0	0	0	0	0.128375977429	0	0.0818330833223	0	0	0	0	0	0	0	0	0	0.035016022261	0	0
Halanaerobiaceae	0	0	0	0	0	0	0	0	0	0	0	0.0123457603332	0	0	0	0	0.000844529738212	0	0.00384843376049	0	0	0	0	0	0
Halieaceae	0	0	0	0	0	0	0	0	0.00177011808412	0	0	0	0	0	0	0	0	0.00100292083037	0	0	0	0	0	0	0
Halobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.00146577353364	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonadaceae	0	0	0	0	0.0001268772845904	0.000299694171129	0	0.000817601494429	0	0	0	0	0.000647982215577	0	0	0	0	0	0	0	0	0	0	0.000738855116496	0
Halothiobacillaceae	0	0	0	0	0.000380246120097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacteraceae	0	0.00677644431502	0.00828869271851	0.0052606452405	0.00134933278876	0.00200665739496	0.000685679156841	0	0.0083857365008	0.0105011917603	0.0129728196141	0.0112821296847	0.0013782508868	0.0229495046943	0.00361415298293	0.0347336850419	0.00717931056394	0.00985491853709	0.0146516830467	0.0107303800767	0.0182097515361	0.00211483460426	0.00217752956587	0.00750492818598	0.00192737040379
Heliobacteriaceae	0	0	0	0.00674402984188	0.00878213532525	0	0	0	0	0	0	0.00667543318607	0	0	0	0	0	0	0	0	0	0	0.0114345950289	0	0
