order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Caudovirales	5.15567332716491	17.3746833579769	40.550975764529	15.3441791289927	1.6177078648918	5.856626681348	83.1715391389073	59.6844395537536	40.956006839201	8.765136928696	33.664387090069	38.579253649171	59.749648920133	44.8215019914657	40.4331230027774	46.94054876349	77.6546694832303	79.388492420901	8.011419990521	72.746900549491	76.0584129287855	2.727059483179	3.48604265344582	80.3276486185435	83.152022381473
Caulobacterales	0	0.01004931361256	0.00713801368535	0.002733038974807	0.0001240059184807	0.002511619733643	0.000185002460493	0.000324595268557	0	0.00205221022047	0.00126761579106	0.00372146683515	0.005055310588502	0	0.000235433649158	0.00456011884618	0.00605815336132	0.00893210531776	0.00257949591733	0.002171365459049	0.00486914611087	0.000570601572793	0.0002203189659453	0.023705892503085	0.00037665908133
Cellvibrionales	0	0	0	0	4.8548015828e-05	0	9.08762219805e-05	0	0.00177011808412	0	0	0	0	0	0	0	0	0.00100292083037	0	0	0	0	9.79324195544e-05	0	0
Chattonellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110626339632	0	0
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0.00224531886218	0	0	0	0.0080467648685	0	0	0	0	0.00398179259125	0	0	0.000565326006907	0	0
Chlorellales	0	0	0.0500708021826	0	0	0.00808128606713	0	0	0	0	0	0	0	0	0.00727752635272	0	0	0	0	0	0	0	0.0690592525468	0	0
Chlorobiales	0	0	0	0.000618458222146	0	0.00091230559592	0	0	0	0.00404014942691	0	0	0.000486094701782	0	0	0	0	0	0	0	0	0	0.001088240846149	0	0
Chloroflexales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.65403562424e-05	0	0
Choanoflagellida	0	0.0006176977423103	0.001359563913467	0.000325949163088	4.132777208393e-05	0.00017563347108	0.0001174642537627	0.000490505166554	0.001329842998884	0.002811875548189	0.000922191778815	0.000846405257681	0.000203566409513	0.000941561413386	4.60978410868e-05	0.002062356767796	0.000392532007068	0.001164119832588	0.001281576042325	0.000645536921105	0.001353624638419	0.0002235858465949	6.54998108885e-05	0.00096846673899	0.000253040769385
Chromatiales	0	0.00230663159335	0	0	0.004343934845722	0.000351314119632	0	0.0013085605305	0.00220219030188	0	0.00340681078395	0.000846518935501	0	0	0	0	0.001221881549927	0	0	0.00140896025877	0	0	0.000281249652723	0.000788351986298	0
Chroococcales	0	0	0	0.000717076517734	0.0001345078515429	0.000469242035482	0	0.000256982339929	0	0	0.00101005425732	0	0.001445540669579	0	0	0	0	0.001157111187353	0	0	0.000991382479868	0.000453058973975	0.001209026168222	0.001428663301589	0
Chrysiogenales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438045406551	0	0	0
Clostridiales	0.0015847025559015	9.40747676110467	4.35916095618643	48.0832210266593	72.9381254290093	60.3797680442692	0.458980216364987	5.68534174283289	1.82486152144915	1.4404193714467	0.73075087781595	2.0592316618648	13.8248983340512	2.51660211054372	3.25173267414295	1.96444150070837	1.73214416146425	1.06759952808264	17.2129778396733	1.26084631225846	0.163236030057768	16.1842880238898	19.1349227577567	2.25997897997406	0.502572169238486
Coriobacteriales	0	0	0.126725599979	0.33653798334432	0.292821084271652	0.38621802624136	0.006734949502247	0.02713124354023	0.00312705609159	0.00391591312937	0.00382272370175	0.0841425254736	0.664254991016169	0.00508802158595	0.208114240734999	0.00370064373622	0.0742683281589	0.00937568338249	0	0.05043066661711	0.03688687405733	0.0515235388306	0.482596382400677	0.08165803206672	0
Corynebacteriales	0.0004950940180434	0.04985813001216	0.03826588804988	0.014861126986321	0.0025562642958001	0.0151210563867	0.0083452770847557	0.106318031316864	0.17936736379175	0.03570229104505	0.056726149864174	0.02450507194434	0.008607427912209	0.06223956384602	0.0263269474938	0.01367828128235	0.034131867741967	0.055885580823378	0.03981266492187	0.04279801508426	0.050112724332787	0.018643246585405	0.0038244932406631	0.008362099055708	0.004979404701363
Cryptomonadales	0	0	0.0119244396239	0.0205287592596	0.0695051030128	0	0	0	0	0	0	0	0.0322703159338	0	0	0	0	0.00567106949597	0	0	0	0	0.0828499713244	0	0
Ctenocladales	0	0	0	0	0.0151034551825	0.00623918648371	0	0	0	0	0.0302517414017	0	0	0	0	0	0	0	0	0	0	0	0.403689254209	0	0.0089889958814
Cyanidiales	0	0	0	0.19356236214032	0.357118465544	0.227131961419	0	0.132707746376	0	0	0	0	0.013764981742	0	0	0	0	0	0	0.107167343228	0	0.00704048394329	0.03562463959025	0	0.00962459689755
Cytophagales	0	0	0	0.000187891309318	0	0.000143341156096	0.000253632754083	0	0	0	0.00290741103458	0	0.000899837733136	0	0	0.0012958320977	0	0	0	0.001777298514225	0.001206449878502	0	0.0028243037761265	0	0
Deferribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000340181217445	0	0	0	0	0	0	0	0	0	0
Deinococcales	0	0.00142380158203	0	0.00442218129077	0	0	0	0.002526550813682	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000395058510147	0	0.0007084448636	0
Desulfarculales	0	0	0	0.000872839704769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729296699562	0	0	0	0.000270969744657	0	0
Desulfobacterales	0	0	0	0	0.0008885400931806	0.000925782355384	6.38172479974e-05	0.000231882146078	0	0	0	0	0.000963978747874	0	0	0	0	0	0.00136365540828	0	0	0	0.0031167156339645	0	0
Desulfovibrionales	0	0	0.0617656431954	0.552846392455721	0.0750072815154	0.0816497635127	0.00558924447608	0	0	0	0	0.22869835849459	0.14601266494323	0	0.07598187693149	0.0188535595499	0.00862240451789	0.0171096607028	0.139177188474	0	0.000623363052841	0	1.11511975213683	0.0160906781558	0.01304582424065
Desulfurellales	0	0	0	0	0.000144906012664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonadales	0	0.000890606299658	0	0.000310615365924	0.000919773515605	0.001301015364099	0	0.000406861122015	0	0	0	0.000570989626916	0.000327551889941	0	0	0	0	0	0.00173022041324	0	0	0	0.000429879460977	0	0
Dictyosteliida	0	0	0	4.69057672675e-05	0	3.57841293038e-05	0	0	0.000224310547485	0	0	0	0	0	0	0	0.000192039790781	0	0	0	0	0	0	8.0299902105e-05	0
Ectocarpales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283119452278	0	0
Eggerthellales	0	0	0.0452711660502	0.0588581489686	0.114423910827448	0.801898078497684	0.00236528912116	0.000416047549842	0	0	0	0.0491416001073	0.113581661994	0	0.15126407219111	0	0.0309545422242	0.0118489077081	0.0073400928149	0.0031254372822	0	0.010619620983945	0.095817303397843	0.0233105363751	0.0154489584383
Elusimicrobiales	0	0	0	0	0	0.00074055419779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriales	0.0408093856299883	5.97757760924591	12.5749782444807	0.493295972501929	2.64881120500864	2.75905546406703	0.0406381501315655	6.82468075119902	9.38132551005376	0.18486421369942	0.37249996310217	0.309023973338252	1.54334874299551	5.51891733607218	0.831828225692371	16.7210505833077	8.63235741481808	6.11287092825227	3.865447852042	4.36015153283519	5.36522867341935	1.07078758632838	4.35892358862621	5.49537002577363	3.24423619564629
Entomoplasmatales	0	0	0	0	0.00123815262795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichales	0.0001743603639819	0.00235524834212	0.16665780907855	0.21385770980339	0.5244029173997	0.58337645191079	0.000953269663147	0.02926810158899	0.0196734179079	0.0383232843076	0.00507249624981	0.08709826045261	0.0582021987165	0	0.006787348302661	0	0.016410513707875	0.01579625225859	0	0.00139856033144	0.00284807463987	0.0143332888235	0.2668883652526	0.0070427964703	0.00150724043593
Eucoccidiorida	0	0	0	0	2.69747698542e-05	0.000133718239257	0	0	0	0.00104965666472	0	0	0	0	0	0.000991953915511	0.000239204951005	0	0	0	0.000364034625766	0.000140926876861	0	0.000300064909526	0
Euglyphida	0	0	0	0	0.005527772848	0	0.00244261051427	0	0	0	0	0	0	0	0.00536449153382	0	0	0	0	0	0	0	0.00193926582121	0	0
Eurotiales	4.084680302784e-05	0.073222147598218	0.063256672168083	0.0241642549250042	0.0720636633145968	0.0587661576991263	0.00167272526948454	0.0835272234720503	0.035333169390238	0.013005559566704	0.008345099643654	0.0103704424109189	0.0092250829699032	0.017734345179825	0.0084871074633108	0.095779223965123	0.0078162733738544	0.005346038804302	0.015291464709296	0.008653886563585	0.105547064624094	0.0044130142685492	0.040649548949133	0.005835086460845	0.002992775513163
Flavobacteriales	0.0001862026073409	0.003393560505711	0.00540173601301	0.080456039531173	0.0005297484975799	0.007379252607458	0.003691040183821	0.00113319436294	0.00216708894956	0.00794120684815	0.028937387030113	0.00439843842211	0.00512866090921	0	0.089339900614866	0	0.001190409724759	0.00489410473145	0	0.00186818178874	0.00792050453666	0.036630828377847	0.0204753094097918	0.001528322241129	0.001179224400538
Frankiales	0	0.000457611049232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123489964556	0	0	0	0	0	0	0.000912249584517	0
Fusobacteriales	94.7286758422838	2.90773161511534	0.32405608141376	0.509000264020906	0.30586519857894	0.121106857276454	0.00167399809159	0.170647291440832	0.40260501738503	0.0256373185486	0.1011681915754	0.02048447003621	0.000400335366031	1.97512916006514	2.63361951473769	0.4191014861754	0.118617351928508	0.75690893907458	7.6348223410941	2.9895178618279	0.15700278875161	8.07604691344286	18.2476293767708	0.0944982064198	0.0415646201078
Gallionellales	0	0.00136842623252	0	0	0.123532869957833	0	0	0.0783677166481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadales	0	0	0	0	0	0.00026248785594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213629542003	0	0
Geodermatophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018724884419	0	0	0.00039051463146	0.001317106189408	0	0.002668148765726	0	0	0	0.0073496957029	0
Gracilariales	0	0	0	0.0173527034405	0.117503588496	0.11914446301	0	0	0	0	0.128375977429	0	0.0818330833223	0	0	0	0	0	0	0	0	0	0.035016022261	0	0
Haemosporida	0	0	0	0	0	5.18637834517e-05	0	0	0	0	0	0	5.54193083986e-05	0	4.67054436245e-05	0	0	0	0	0	0	0	0	0	7.74993405259e-05
Halanaerobiales	0	0	0	0	0	0	0	0	0	0	0	0.0123457603332	0	0	0	0	0.000844529738212	0	0.00384843376049	0	0	0	0	0	0
Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0.00146577353364	0	0	0	0	0	0	0	0	0	0	0	0	0
