genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	553	2	172	182	238	5	1918	1	0	0	3	1	104	2	0	2	1	0	224	0	1	270	2	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	1	0	0	1	1	0	1	0	2	0	0	0	3	1	0	100	0	0	0	0	0	1	0	2
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0	0	0	4	52	1	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	21	1	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0	0	0	1	1	3	0	4	0	0	1	0	1	0	0	0	0	0	0	13	2	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacterium	0	0	0	11	64	84	2	0	0	0	0	1	38	0	16	0	0	0	0	0	0	2	49	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	1	1	8	79	28	2	1	0	0	0	6	10	0	11	0	5	0	3	0	0	6	59	2	5
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0	0	17	104	2	4	0	0	0	0	0	33	0	4	0	0	0	0	1	0	4	55	6	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	2	9	50	212	0	2	0	0	0	3	42	0	31	1	2	1	0	0	0	1	39	6	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales|f__Conexibacteraceae|g__Conexibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	0	0	0	0	46	0	1	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	2	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1	5778	379	5312	56058	14808	355	4163	362	188	87	157	6495	1243	1897	201	326	123	1583	223	112	22898	58657	341	437
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	0	2	401	120	11	15	1	0	0	2	29	76	0	3	0	6	3	4	2	2	0	128	3	15
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Paludibacter	0	2	0	18	13	1	2	0	0	0	3	1	3	1	0	0	0	0	0	0	1	0	6	0	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0	931	100	310	4659	1613	20	21	1	10	2	24	782	178	11	10	21	3	2	8	2	61	182	31	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	2	3	161	11	4	0	5	0	1	2	16	3	4	0	2	1	0	28	1	6	5	467	2	0
