order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0	0	0	0	4	3	3	4	0	2	4	1	2	1	3	3	0	2	1	0	0	2	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3	4	5	175	1541	151	5	153	18	6	15	7	93	5	18	4	17	13	4	18	17	30	193	6	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	163	7020	4635	2381	7464	7380	19566	7062	5259	7823	6824	8625	9454	2352	7279	3308	4442	3061	3830	2220	4619	9877	3061	3396	3678
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	0	0	1	2	3	2	4	0	1	0	1	0	4	0	0	1	1	1	0	0	1	0	3	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	0	1	0	0	10	6	3	3	0	0	1	0	8	0	0	0	0	0	0	0	0	0	2	0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6	12	11	2	5	43	7	16	16	7	16	11	7	11	287	11	41	57	4	30	17	21	19	32	15
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0	2	8	32	510	34	2	36	1	0	0	5	15	0	1166	14	6	2	3	1	2	8	128	5	1
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0	6	4	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	2	786	4	1
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	0	0	1	8	114	28	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	14	0	0
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0	1	0	12	9	8	1	1	0	1	2	0	7	0	5	1	2	0	2	1	1	3	16	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	0	0	0	6	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	28	1	0
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	1456	0	0	111	95	0	26	1	294	2	0	0	0	0	11	22	3	24	0	1047	0	0
d__Viruses|o__Caudovirales	71	13	2	3	10	10	12	14	3	2	4	23	20	12	19	1	17	19	2	5	7	7	2	4	8
d__Viruses|o__Herpesvirales	0	0	0	0	1	2	0	4	0	7	0	0	0	0	40	0	6	0	0	1	4	1	2	1	40
