species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Elusimicrobium minutum	0	0	0	0	0	0.00074055419779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emiliania huxleyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326406717161	0	0	0	0	0	0	0	0	0	0
Encephalitozoon cuniculi	0	0	0	0	0	0.000487342333904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enhydrobacter aerosaccus	0.000292871495988	0.0441045739411	0.00837109581102	0.00472261743468	9.08498234822e-05	0.000450357074352	0.00107721588078	0.00838735848055	0.0197612435216	0.00353519689777	0.00436726351658	0.297336773403	0.00324789020086	0.00386294335218	0.00811129676516	0.0167042830418	0.00563942134989	0.00796231397017	0.00986489641106	0.0108370575145	0.00367815721925	0.00617026078174	0.00274897219113	0.00505302625583	0.00389306320343
Enterobacter aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00747143416363	0	0	0	0	0	0	0
Enterobacter cloacae complex	0.000223282453639	0.0293654683176	0	0.00398944168841	0.0173465809997	0	7.42841253473e-05	0.00768396163408	0.00636480160437	0	0	0	0	0.0839345352148	0.010379614207904	0	0.00427829777004	0.040432223725508	0	0.0020655174925	0.000591834585675	0.000229113919046	0.0061696972603933	0	0.000371004312533
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0.00489447504371	0	0	0	0	0	0	0	0	0.0130378386865	0	0	0	0	0	0	0
Enterobacteria phage M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173789452444	0	0	0	0	0	0	0	0	0	0
Enterobacteria phage P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288414786435	0.0185172365949
Enterobacteria phage lambda	5.15122242284	16.8990134934	40.0420980204	15.2944337566	1.59285549858	5.73342953518	83.1511177463	59.6334529188	40.3532797838	8.09319691526	32.9204535016	37.6886940798	59.6650322953	43.5704807716	40.1052751042	46.6359134542	77.0127989456	77.8036534088	7.71157715363	72.6131483876	75.305095286	2.59722088267	3.42804518436	80.2988071399	83.0743404529
