order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Chlorellales	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0
Chlorobiales	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0
Chloroflexales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Choanoflagellida	0	8	9	10	9	8	14	17	9	13	8	16	9	5	2	12	9	17	7	7	19	9	7	18	8
Chromatiales	0	2	0	0	53	1	0	3	1	0	2	1	0	0	0	0	2	0	0	1	0	0	2	1	0
Chroococcales	0	0	0	1	2	1	0	1	0	0	1	0	3	0	0	0	0	2	0	0	1	2	6	2	0
Chrysiogenales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Clostridiales	40	8996	2256	107851	1025969	183674	3797	14767	891	552	465	2814	41533	995	11665	837	2810	1175	7371	1007	209	47192	173587	3116	1092
Coriobacteriales	0	0	41	474	2901	731	35	38	1	1	1	70	1274	1	436	1	78	6	0	16	26	98	2185	72	0
Corynebacteriales	12	47	27	27	41	55	97	204	85	11	57	29	34	17	73	5	52	56	16	28	64	53	25	11	8
Cryptomonadales	0	0	1	1	22	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	13	0	0
Ctenocladales	0	0	0	0	12	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	159	0	1
Cyanidiales	0	0	0	22	265	34	0	16	0	0	0	0	2	0	0	0	0	0	0	4	0	1	13	0	1
Cytophagales	0	0	0	1	0	1	3	0	0	0	2	0	5	0	0	1	0	0	0	2	2	0	24	0	0
Deferribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Deinococcales	0	1	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Desulfarculales	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0
Desulfobacterales	0	0	0	0	14	3	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	21	0	0
Desulfovibrionales	0	0	27	977	1048	235	35	0	0	0	0	225	241	0	235	6	16	18	45	0	1	0	7043	22	24
Desulfurellales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonadales	0	1	0	1	16	4	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	4	0	0
Dictyosteliida	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
Ectocarpales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Eggerthellales	0	0	19	134	1633	2196	18	1	0	0	0	55	329	0	455	0	23	12	3	2	0	26	691	31	32
Elusimicrobiales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriales	1622	7676	10464	1676	67703	14078	497	30950	6563	106	328	534	6543	2788	3915	11883	21196	9094	2323	4750	8645	4444	52663	10721	9887
Entomoplasmatales	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichales	4	2	40	364	6738	1499	8	63	9	14	3	57	162	0	20	0	26	12	0	1	3	39	1139	9	3
Eucoccidiorida	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0
Euglyphida	0	0	0	0	23	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0
Eurotiales	11	781	413	735	14445	2353	182	2716	220	66	62	158	348	79	357	518	164	70	81	81	97	164	4021	94	79
