genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Dethiobacter	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	34	0	0
Dickeya	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	3	0	5	0	1	0	0	0
Dictyostelium	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
Dinoroseobacter	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dokdonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dorea	0	380	162	41559	513063	8927	1794	4775	0	190	0	48	1786	0	3824	0	1365	457	148	337	41	4653	27405	1520	422
Dyadobacter	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0
Ectocarpus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Edwardsiella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Eggerthella	0	0	0	134	1234	1286	0	1	0	0	0	55	329	0	249	0	0	12	3	2	0	26	613	31	32
Elusimicrobium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emiliania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Encephalitozoon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enhydrobacter	6	29	3	8	1	1	7	15	7	1	2	274	7	1	20	5	7	6	3	6	3	13	15	5	6
Enterobacter	8	40	0	14	351	0	1	28	7	0	0	0	0	38	46	0	10	89	0	2	1	1	62	0	1
Enterococcus	0	1432	134	1092	3624	2001	50	1061	167	1	0	53	925	238	1170	33	31	1	154	264	0	3420	11197	0	98
Eremothecium	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia	0	0	24	0	466	11	2	49	0	2	0	0	0	0	2	1	2	0	0	1	0	0	1	0	2
Erysipelothrix	0	0	39	7	711	182	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	685	0	0
Erythrobacter	0	24	5	26	0	2	0	0	0	0	2	1	15	0	1	0	2	1	0	0	1	1	11	9	1
Escherichia	1601	6106	10272	1625	64780	12694	440	20268	6535	89	320	494	6495	2469	3577	11291	20772	8740	2317	4524	8450	4406	51782	10496	9719
Ethanoligenens	0	0	0	562	2734	244	2	1	0	0	0	1	268	0	0	0	0	0	0	0	0	0	234	0	0
Eubacterium	38	4	72	3040	15567	3213	45	213	1	0	119	37	910	30	165	19	18	6	17	22	20	109	2546	11	5
Exiguobacterium	0	0	0	0	17	43	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	3	0
F116likevirus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ferrimonas	0	0	0	0	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fervidobacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Filifactor	0	0	4	214	99	0	0	0	0	0	1	0	0	0	34	0	3	0	71	0	0	0	319	0	0
Filobasidiella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Finegoldia	1	0	0	74	0	0	0	38	0	0	0	2	0	3	1	0	1	0	2	34	1	1	290	0	0
Flavobacterium	2	0	0	26	2	1	16	0	0	1	2	0	8	0	3	0	1	4	0	0	0	1	1	2	1
Flexibacter	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fonticula	0	4	2	0	1	1	3	0	2	16	2	13	2	2	2	1	0	0	1	2	0	0	1	2	2
Francisella	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
Frankia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0
Frateuria	0	0	0	0	3	13	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Fusarium	10	3	4	0	2	2	3	10	4	2	2	4	1	19	2	11	1	5	12	0	4	2	0	4	1
Fusobacterium	1586006	1585	23	706	1575	209	9	251	118	6	36	9	0	423	5096	92	118	459	1916	1372	105	14065	78904	64	53
