family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	410	229	975	72	147	11800	9879	5914	28	3059	59	2565	92	105	3545	88	151	569	1103	950	677	89	93852	76	1286	605	33	75	48	46915	192609	45	22	188	15292	102	2501	7042	83018	2926	179	104	176	369077	1178	6075	12784	1177	5525	80	150	22	23	706	102	1320	36792	6349	908	114635	103	14799	449	1991	215	144	95	33	1743	803	1986	2936	58	724	16227	26	146	11794	345	27	1788	211	444	224	19194	9	77	11003	1730
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	0	0	1	1	0	0	1	0	4	2	0	2	0	0	0	1	1	0	2	0	1	4	1	0	0	2	3	0	6	0	1	1	3	4	3	0	0	2	0	1	0	9	1	0	0	1	0	0	0	3	0	1	0	1	3	2	1	1	0	3	1	3	6	0	0	2	1	2	0	0	0	1	4	1	0	1	12	0	2	1	0	0	1	2	2	0	2	3	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Alcanivoracaceae	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	6	0	0	0	0	1	1	0	0	1	0	0	0	2	3	0	1	1	2	0	1	1	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Hahellaceae	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	3	3	1	0	2	0	2	0	4	1	3	3	2	0	3	0	2	2	3	2	0	1	6	0	4	5	2	6	0	2	1	0	1	1	2	1	0	4	0	4	2	10	2	0	4	0	7	2	1	3	0	1	0	0	0	1	2	1	1	0	2	0	3	1	2	3	3	2	2	1	1	2	9	0	2	1	3	2	0	0	0	4	2	1	0	0	2	6	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	2	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	58	17	10	16	404	13	5	29	11	138	205	17	25	59	29	6	35	4	293	88	502	27	507	110	12	16	7	17	12	10	209	46	9	129	12	13	6	62	20	69	281	5	12	520	6	203	23	15	11	263	10	2	27	292	141	385	4	336	586	541	810	7	8	8	22	34	11	24	9	107	146	17	13	203	15	41	14	18	6	6	46	21	58	29	247	9	9	67	380
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	1	5	1	0	1	1	2	0	2	4	0	0	0	0	0	0	0	2	1	1	0	2	2	0	2	2	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	2	0	2	0	0	2	1	2	0	0	3	2	1	0	0	0	0	1	0	1	1	1	2	1	1	0	3	2	0	0	0	1	1	1	1	2	0	2	0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	17	12	7	7	20	18	10	15	22	131	19	46	26	5	12	31	15	14	26	20	27	24	14	18	15	14	17	22	23	15	10	19	23	36	78	12	2	28	15	17	16	64	122	23	552	19	19	23	5	38	8	9	11	5	16	50	16	62	23	100	39	20	30	160	11	11	9	21	9	6	17	10	53	14	30	13	20	24	6	8	13	19	21	6	24	4	26	110	17
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Francisellaceae	0	0	2	0	0	0	0	1	0	4	0	0	1	0	1	2	1	1	2	0	0	1	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	1	3	0	1	0	1	3	1	1	1	1	0	4	0	0	1	0	0	1	0	1	0	0	1	0	0	5	0	0	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae	0	1	0	4	1	0	0	1	3	0	2	4	1	0	0	0	1	0	0	1	0	3	1	0	3	1	0	5	0	1	2	0	0	1	2	1	0	2	2	1	1	2	0	5	2	0	0	1	0	0	1	1	2	0	1	0	1	0	2	0	3	0	2	2	0	0	1	0	1	0	1	1	2	1	3	0	0	0	0	1	2	0	0	0	3	0	0	1	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	5	12	2	4	6	7	1	6	5	4	2	7	3	2	4	8	3	2	5	11	3	8	5	2	6	3	0	10	4	2	5	1	6	3	2	5	8	2	4	1	4	5	5	2	2	6	4	9	6	1	3	6	5	1	0	0	3	2	7	3	3	0	6	2	7	0	5	1	7	4	1	8	6	2	10	2	7	2	3	1	4	0	6	7	4	2	4	12	2
