order	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Archaea|p__Thaumarchaeota|o__Nitrosopumilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Thaumarchaeota|o__Nitrososphaerales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3	3	4	2	4	8	5	2	5	4	1	2	0	3	0	3	0	2	3	1	5	8	3	1	6	1	4	4	20	0	2	5	0	1	4	2	0	4	2	2	6	7	9	0	0	3	3	3	1	7	0	0	1	0	4	4	2	1	7	5	2	8	16	7	3	3	4	2	4	3	4	3	13	0	4	4	7	9	0	2	2	3	8	3	5	0	3	18	6
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	6	2	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	2	1	0	3	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Acidimicrobiales	2	0	0	1	1	3	1	1	0	1	0	2	1	0	0	2	0	0	1	1	3	1	0	0	0	2	0	2	1	1	0	0	1	0	0	1	0	1	0	2	0	1	2	0	1	0	3	1	1	2	1	0	0	0	1	1	2	0	1	2	1	0	5	1	1	0	1	1	1	1	1	3	2	1	2	0	1	1	0	1	1	0	2	0	2	1	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	63	75	68	62	76	85	129	103	129	44	211	164	116	52	43	83	47	37	111	55	66	132	44	56	85	83	66	124	59	44	120	99	48	95	69	91	12	309	64	48	80	273	95	1174	59	96	125	82	40	77	78	45	44	55	144	113	55	135	169	107	61	105	251	105	72	60	29	88	79	62	82	64	250	102	98	72	102	154	24	32	71	64	132	59	103	50	62	422	122
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	136	67	2439	510	2154	74	307	9245	103	72	798	148	279	35	114	4504	268	115	204	2112	710	639	183	19092	5250	708	94	919	2437	53	1930	153	73	2819	62	10229	220	330	120	1369	2800	496	2830	655	112	267	4263	15551	1097	71	1041	76	63	103	912	544	30	53	3034	119	105	32	342	75463	54	1590	54	154	36	113	4696	3738	146	2940	125	748	99	254	3058	207	75	4967	405	55	503	125	210	92	4712
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	472	373	591	313	442	881	2237	426	467	402	271	178	735	746	507	671	480	133	381	437	97	522	80	2441	653	195	1811	167	1119	665	1611	958	234	440	1787	825	223	304	233	596	760	2942	293	290	298	195	183	512	490	138	710	687	1327	1181	360	597	484	554	261	113	627	2411	2518	1833	810	339	350	756	255	850	2441	1772	363	2436	179	641	324	3389	851	49	176	2118	209	203	398	682	902	599	226
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Rubrobacterales	0	0	3	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	1	0	0	0	0	2	0	2	1	4	0	0	0	1	1	0	0	2	0	2	0	3	0	2	1	0	2	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	0	3	0	0	0	0	2	2	0	1	1	1	0	1	2	1	4	0	0	0	3	0	0	0	0	0	3	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	1	0	1	0	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	5	1	1	0	1	1	0	0	1	0	0	1	0	0	2	0	1	1	0	1	1	3	0	0	1	0	0	1	0	1	2	1	0	0	1	0	1	1	0	0	1	0	0	2	0	0	6	1
