SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
CCIS90903952ST-3-0	25930378	24930378	1000000	23479	177805	286650	207	226
CCIS91228662ST-4-0	77940546	76940546	1000000	23864	219886	302852	205	228
CCIS93040568ST-20-0	11882589	10882589	1000000	25430	268633	263903	210	228
CCIS94417875ST-3-0	18387941	17387941	1000000	8854	95759	215034	206	215
CCIS94496512ST-4-0	29433962	28433962	1000000	27595	331274	304379	209	229
CCIS94603952ST-4-0	59566386	58566386	1000000	27676	321362	340251	207	231
CCIS95097901ST-4-0	39723124	38723124	1000000	23359	265204	333098	205	227
CCIS95409808ST-4-0	58290394	57290394	1000000	20115	219880	329964	212	239
CCIS96387239ST-4-0	24041383	23041383	1000000	19117	134771	355315	195	224
CCIS98482370ST-3-0	17322064	16322064	1000000	20349	182761	222398	207	211
CCIS98512455ST-4-0	34614094	33614094	1000000	23970	223106	333294	207	230
CCIS98832363ST-4-0	50703872	49703872	1000000	16057	167441	291623	208	233
CCMD11006829ST-21-0	70700923	69700923	1000000	27756	168659	301843	210	235
CCMD12232071ST-21-0	53144782	52144782	1000000	21674	192375	321438	211	237
CCMD13071240ST-21-0	53201719	52201719	1000000	20960	189655	318447	210	236
CCMD13934959ST-21-0	31210538	30210538	1000000	27636	297673	313869	208	233
CCMD14479708ST-21-0	55786443	54786443	1000000	24163	229986	316025	210	230
CCMD18872694ST-21-0	47068150	46068150	1000000	29184	299704	316184	208	232
CCMD19497912ST-21-0	52806841	51806841	1000000	13719	106862	300081	210	229
CCMD23101338ST-21-0	71338168	70338168	1000000	22357	172013	337169	209	236
CCMD25511638ST-21-0	55803097	54803097	1000000	20323	149481	291257	209	232
CCMD25963797ST-21-0	68998500	67998500	1000000	21447	191956	317986	210	237
CCMD26709089ST-21-0	68089471	67089471	1000000	36519	407286	365689	209	231
CCMD26925580ST-21-0	45698313	44698313	1000000	23127	239801	343489	208	230
CCMD34381688ST-21-0	50203723	49203723	1000000	13166	133227	309310	204	228
CCMD35802077ST-21-0	52196742	51196742	1000000	22606	212083	318153	210	234
CCMD40701343ST-21-0	94892470	93892470	1000000	34168	298451	259514	203	225
CCMD42428553ST-21-0	48178299	47178299	1000000	12587	113635	312716	214	240
CCMD45988061ST-21-0	28161201	27161201	1000000	18673	210563	303876	210	232
CCMD46222674ST-21-0	53167918	52167918	1000000	19684	151847	319080	207	234
CCMD46947453ST-21-0	62303091	61303091	1000000	21378	214666	310868	204	235
CCMD48236717ST-21-0	67192122	66192122	1000000	21018	119314	305247	204	226
CCMD50071957ST-21-0	48289634	47289634	1000000	26505	237259	316015	208	238
CCMD51864103ST-21-0	59877906	58877906	1000000	23517	284187	318347	206	226
CCMD60079086ST-21-0	42540484	41540484	1000000	17826	159746	327331	209	232
CCMD63399960ST-21-0	62021887	61021887	1000000	19718	200050	324382	209	232
CCMD64503764ST-21-0	61770314	60770314	1000000	23448	191064	273639	208	235
CCMD64776337ST-21-0	57813063	56813063	1000000	23388	229410	322218	208	232
CCMD72895164ST-21-0	58862820	57862820	1000000	20899	257402	324999	205	228
CCMD74930188ST-21-0	50984410	49984410	1000000	27228	316355	305787	207	229
CCMD79987997ST-21-0	61924829	60924829	1000000	29970	320551	284527	209	234
CCMD82866709ST-21-0	43613173	42613173	1000000	17450	184818	303095	214	239
CCMD86114146ST-21-0	56944227	55944227	1000000	12279	110114	288309	209	232
CCMD86707194ST-21-0	62093312	61093312	1000000	22977	275412	353341	210	235
CCMD87156761ST-21-0	52446643	51446643	1000000	19349	103615	327799	211	239
CCMD88272491ST-21-0	57040846	56040846	1000000	23984	280595	295828	207	233
CCMD90311071ST-21-0	51580800	50580800	1000000	26913	238909	301848	207	227
CCMD93344354ST-21-0	63975507	62975507	1000000	26670	253624	332326	206	232
CCMD95433940ST-21-0	103592839	102592839	1000000	24483	257284	327687	207	231
CCMD96553385ST-21-0	57594535	56594535	1000000	31243	261880	315569	204	227
MMPU29365221ST	116437743	115437743	1000000	19591	172405	331135	208	229
MMPU68403337ST	114185943	113185943	1000000	19359	200166	306636	209	239
MMPU72854103ST	145750949	144750949	1000000	28636	334882	371139	207	230
MMPU84450604ST	119125578	118125578	1000000	27988	313805	375719	209	232
MMPU99077057ST	92365555	91365555	1000000	29523	404577	321463	209	232
